trial_id,value,state,p_fast_period,p_slow_period,p_signal_period,p_entry_hhmm_min,a_fold1_test_calmar,a_fold1_test_return,a_fold1_test_trades,a_fold1_test_mdd,a_fold1_test_win_rate,a_fold1_overfit,a_fold1_monthly_trades,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_failed_aggregate_gates
252,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
253,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
254,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
255,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
256,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
257,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
258,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
259,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
260,-1000000.0,TrialState.COMPLETE,14,32,12,1430,26.048450628769086,0.11448594736888307,42,-0.03303120324996063,0.5,,21.0,5,-3.397822583705894,33,0.36363636363636365,16.5,False,0.19214192185840506,-0.018057799785401694,,5,44.94828103030747,19.666666666666668,0.4576271186440678,4,True,-0.045718701835189335,-0.07356482652036726,-3.861468217648467,4,112.19421504585922,43,0.4883720930232558,21.5,True,-3.861468217648467,118,-0.07356482652036726,False,['overfit']
261,-1000000.0,TrialState.COMPLETE,14,32,12,1430,26.048450628769086,0.11448594736888307,42,-0.03303120324996063,0.5,,21.0,5,-3.397822583705894,33,0.36363636363636365,16.5,False,0.19214192185840506,-0.018057799785401694,,5,44.94828103030747,19.666666666666668,0.4576271186440678,4,True,-0.045718701835189335,-0.07356482652036726,-3.861468217648467,4,112.19421504585922,43,0.4883720930232558,21.5,True,-3.861468217648467,118,-0.07356482652036726,False,['overfit']
262,-1000000.0,TrialState.COMPLETE,14,32,12,1430,26.048450628769086,0.11448594736888307,42,-0.03303120324996063,0.5,,21.0,5,-3.397822583705894,33,0.36363636363636365,16.5,False,0.19214192185840506,-0.018057799785401694,,5,44.94828103030747,19.666666666666668,0.4576271186440678,4,True,-0.045718701835189335,-0.07356482652036726,-3.861468217648467,4,112.19421504585922,43,0.4883720930232558,21.5,True,-3.861468217648467,118,-0.07356482652036726,False,['overfit']
263,-1000000.0,TrialState.COMPLETE,14,32,12,1430,26.048450628769086,0.11448594736888307,42,-0.03303120324996063,0.5,,21.0,5,-3.397822583705894,33,0.36363636363636365,16.5,False,0.19214192185840506,-0.018057799785401694,,5,44.94828103030747,19.666666666666668,0.4576271186440678,4,True,-0.045718701835189335,-0.07356482652036726,-3.861468217648467,4,112.19421504585922,43,0.4883720930232558,21.5,True,-3.861468217648467,118,-0.07356482652036726,False,['overfit']
264,-1000000.0,TrialState.COMPLETE,14,32,12,1430,26.048450628769086,0.11448594736888307,42,-0.03303120324996063,0.5,,21.0,5,-3.397822583705894,33,0.36363636363636365,16.5,False,0.19214192185840506,-0.018057799785401694,,5,44.94828103030747,19.666666666666668,0.4576271186440678,4,True,-0.045718701835189335,-0.07356482652036726,-3.861468217648467,4,112.19421504585922,43,0.4883720930232558,21.5,True,-3.861468217648467,118,-0.07356482652036726,False,['overfit']
265,-1000000.0,TrialState.COMPLETE,14,32,12,1430,26.048450628769086,0.11448594736888307,42,-0.03303120324996063,0.5,,21.0,5,-3.397822583705894,33,0.36363636363636365,16.5,False,0.19214192185840506,-0.018057799785401694,,5,44.94828103030747,19.666666666666668,0.4576271186440678,4,True,-0.045718701835189335,-0.07356482652036726,-3.861468217648467,4,112.19421504585922,43,0.4883720930232558,21.5,True,-3.861468217648467,118,-0.07356482652036726,False,['overfit']
266,-1000000.0,TrialState.COMPLETE,14,32,12,1430,26.048450628769086,0.11448594736888307,42,-0.03303120324996063,0.5,,21.0,5,-3.397822583705894,33,0.36363636363636365,16.5,False,0.19214192185840506,-0.018057799785401694,,5,44.94828103030747,19.666666666666668,0.4576271186440678,4,True,-0.045718701835189335,-0.07356482652036726,-3.861468217648467,4,112.19421504585922,43,0.4883720930232558,21.5,True,-3.861468217648467,118,-0.07356482652036726,False,['overfit']
267,-1000000.0,TrialState.COMPLETE,14,32,12,1430,26.048450628769086,0.11448594736888307,42,-0.03303120324996063,0.5,,21.0,5,-3.397822583705894,33,0.36363636363636365,16.5,False,0.19214192185840506,-0.018057799785401694,,5,44.94828103030747,19.666666666666668,0.4576271186440678,4,True,-0.045718701835189335,-0.07356482652036726,-3.861468217648467,4,112.19421504585922,43,0.4883720930232558,21.5,True,-3.861468217648467,118,-0.07356482652036726,False,['overfit']
268,-1000000.0,TrialState.COMPLETE,14,32,12,1430,26.048450628769086,0.11448594736888307,42,-0.03303120324996063,0.5,,21.0,5,-3.397822583705894,33,0.36363636363636365,16.5,False,0.19214192185840506,-0.018057799785401694,,5,44.94828103030747,19.666666666666668,0.4576271186440678,4,True,-0.045718701835189335,-0.07356482652036726,-3.861468217648467,4,112.19421504585922,43,0.4883720930232558,21.5,True,-3.861468217648467,118,-0.07356482652036726,False,['overfit']
269,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
270,31.28382456707908,TrialState.COMPLETE,14,34,12,1490,35.4391993966984,0.09680570934038668,40,-0.019684239347413597,0.45,,20.0,5,-3.6647092555851293,31,0.3548387096774194,15.5,False,0.13489095035440846,-0.01964133088468368,,5,31.28382456707908,18.666666666666668,0.44642857142857145,5,True,-0.04345103546147677,-0.0651997813781879,,5,62.07698356012396,41,0.5121951219512195,20.5,True,,112,-0.0651997813781879,True,
271,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
272,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
273,45.04282243844151,TrialState.COMPLETE,12,34,12,1430,29.072404327485717,0.11826550927384383,45,-0.030848400878702394,0.5111111111111111,,22.5,5,-3.9940833681738663,37,0.32432432432432434,18.5,False,0.2218660801751855,-0.023024549773338305,491.2627936988614,5,45.04282243844151,21.333333333333332,0.46875,5,True,-0.06288852592571337,-0.08241171710522592,-2.0423972727687603,3,110.05014635601268,46,0.5434782608695652,23.0,True,244.61019821304632,128,-0.08241171710522592,True,
274,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
275,87.84331081497095,TrialState.COMPLETE,14,34,12,1430,39.47846948919422,0.11796539663398975,41,-0.02264331710888235,0.5121951219512195,,20.5,5,-3.115692042533243,32,0.34375,16.0,False,0.19730432809313614,-0.00928605428496139,,5,87.84331081497095,19.0,0.4649122807017544,5,True,-0.03946147623856067,-0.0703592586739551,,4,227.16715499825187,41,0.5121951219512195,20.5,True,,114,-0.0703592586739551,True,
