trial_id,value,state,p_min_change_pct,p_entry_hhmm_min,p_entry_hhmm_max,a_fold1_test_calmar,a_fold1_test_trades,a_fold1_test_win_rate,a_fold1_monthly_trades,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_fold1_test_return,a_fold1_test_mdd,a_fold1_overfit,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_failed_aggregate_gates
23,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
24,21.79409110017313,TrialState.COMPLETE,6.0,1500,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
25,21.79409110017313,TrialState.COMPLETE,6.0,1490,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
26,21.79409110017313,TrialState.COMPLETE,6.0,1490,1500,27.162727252877044,69,0.42028985507246375,34.5,True,-0.09089016820599827,-0.09089016820599824,,4,43.096568427387936,104,0.4423076923076923,52.0,True,,223,-0.09089016820599824,True,0.13606910416787565,-0.03962908004711336,,5,-4.877022379745599,50,0.28,25.0,False,0.16357740651346808,-0.037061631016894865,,5,21.79409110017313,37.166666666666664,0.3991031390134529,5,
27,5.998720133429537,TrialState.COMPLETE,5.5,1490,1510,17.48154508385607,98,0.3877551020408163,49.0,True,-0.08994553835725216,-0.09214634774575219,,4,5.286463014319254,140,0.42857142857142855,70.0,True,,310,-0.09633601682845053,True,0.09690896791412262,-0.03995694970173257,,5,-4.771847697886709,72,0.2777777777777778,36.0,False,0.067519986575447,-0.09633601682845053,,5,5.998720133429537,51.666666666666664,0.38064516129032255,5,
28,11.578676964720854,TrialState.COMPLETE,5.5,1490,1500,26.12995188150836,86,0.4069767441860465,43.0,True,-0.08745185831089142,-0.08745185831089139,,4,13.52541641148077,124,0.41935483870967744,62.0,True,,274,-0.08745185831089139,True,0.12579590630588755,-0.03716683192205247,,5,-4.919337398826571,64,0.265625,32.0,False,0.11298955967804769,-0.07119045458223967,,5,11.578676964720854,45.666666666666664,0.3795620437956204,5,
29,11.578676964720854,TrialState.COMPLETE,5.5,1490,1500,26.12995188150836,86,0.4069767441860465,43.0,True,-0.08745185831089142,-0.08745185831089139,,4,13.52541641148077,124,0.41935483870967744,62.0,True,,274,-0.08745185831089139,True,0.12579590630588755,-0.03716683192205247,,5,-4.919337398826571,64,0.265625,32.0,False,0.11298955967804769,-0.07119045458223967,,5,11.578676964720854,45.666666666666664,0.3795620437956204,5,
30,11.578676964720854,TrialState.COMPLETE,5.5,1490,1500,26.12995188150836,86,0.4069767441860465,43.0,True,-0.08745185831089142,-0.08745185831089139,,4,13.52541641148077,124,0.41935483870967744,62.0,True,,274,-0.08745185831089139,True,0.12579590630588755,-0.03716683192205247,,5,-4.919337398826571,64,0.265625,32.0,False,0.11298955967804769,-0.07119045458223967,,5,11.578676964720854,45.666666666666664,0.3795620437956204,5,
31,11.578676964720854,TrialState.COMPLETE,5.5,1490,1500,26.12995188150836,86,0.4069767441860465,43.0,True,-0.08745185831089142,-0.08745185831089139,,4,13.52541641148077,124,0.41935483870967744,62.0,True,,274,-0.08745185831089139,True,0.12579590630588755,-0.03716683192205247,,5,-4.919337398826571,64,0.265625,32.0,False,0.11298955967804769,-0.07119045458223967,,5,11.578676964720854,45.666666666666664,0.3795620437956204,5,
32,5.998720133429537,TrialState.COMPLETE,5.5,1490,1510,17.48154508385607,98,0.3877551020408163,49.0,True,-0.08994553835725216,-0.09214634774575219,,4,5.286463014319254,140,0.42857142857142855,70.0,True,,310,-0.09633601682845053,True,0.09690896791412262,-0.03995694970173257,,5,-4.771847697886709,72,0.2777777777777778,36.0,False,0.067519986575447,-0.09633601682845053,,5,5.998720133429537,51.666666666666664,0.38064516129032255,5,
33,5.998720133429537,TrialState.COMPLETE,5.5,1490,1510,17.48154508385607,98,0.3877551020408163,49.0,True,-0.08994553835725216,-0.09214634774575219,,4,5.286463014319254,140,0.42857142857142855,70.0,True,,310,-0.09633601682845053,True,0.09690896791412262,-0.03995694970173257,,5,-4.771847697886709,72,0.2777777777777778,36.0,False,0.067519986575447,-0.09633601682845053,,5,5.998720133429537,51.666666666666664,0.38064516129032255,5,
34,5.998720133429537,TrialState.COMPLETE,5.5,1480,1510,17.48154508385607,98,0.3877551020408163,49.0,True,-0.08994553835725216,-0.09214634774575219,,4,5.286463014319254,140,0.42857142857142855,70.0,True,,310,-0.09633601682845053,True,0.09690896791412262,-0.03995694970173257,,5,-4.771847697886709,72,0.2777777777777778,36.0,False,0.067519986575447,-0.09633601682845053,,5,5.998720133429537,51.666666666666664,0.38064516129032255,5,
35,5.998720133429537,TrialState.COMPLETE,5.5,1480,1510,17.48154508385607,98,0.3877551020408163,49.0,True,-0.08994553835725216,-0.09214634774575219,,4,5.286463014319254,140,0.42857142857142855,70.0,True,,310,-0.09633601682845053,True,0.09690896791412262,-0.03995694970173257,,5,-4.771847697886709,72,0.2777777777777778,36.0,False,0.067519986575447,-0.09633601682845053,,5,5.998720133429537,51.666666666666664,0.38064516129032255,5,
36,7.187186633188272,TrialState.COMPLETE,5.5,1480,1505,20.28093178682294,96,0.3958333333333333,48.0,True,-0.09406230998777476,-0.0962631193762748,,4,6.008362292535916,136,0.4264705882352941,68.0,True,,301,-0.09808690685197177,True,0.10916783040662636,-0.039945782078751185,,5,-4.727734179794041,69,0.2608695652173913,34.5,False,0.07631464432935031,-0.09808690685197177,,5,7.187186633188272,50.166666666666664,0.3787375415282392,5,
37,7.55857505886755,TrialState.COMPLETE,4.5,1480,1505,18.334303080439778,120,0.4083333333333333,60.0,True,-0.1392159634842901,-0.14011470816629024,,4,8.638199536714282,188,0.43617021276595747,94.0,True,,425,-0.14011470816629024,True,0.10675242803849949,-0.04296194541722251,,5,-4.29677744055141,117,0.28205128205128205,58.5,False,0.09699022362591347,-0.0916568110182804,,5,7.55857505886755,70.83333333333333,0.38588235294117645,5,
38,7.01474050522305,TrialState.COMPLETE,5.0,1480,1505,15.462092304361452,102,0.39215686274509803,51.0,True,-0.09981486454468336,-0.10222193694838345,,4,10.238940243463897,163,0.4233128834355828,81.5,True,,351,-0.10222193694838345,True,0.08586134998736261,-0.038988119406943786,,5,-4.6568110321562,86,0.27906976744186046,43.0,False,0.11104982623464532,-0.0919458378995804,,5,7.01474050522305,58.5,0.3789173789173789,5,
39,7.01474050522305,TrialState.COMPLETE,5.0,1480,1505,15.462092304361452,102,0.39215686274509803,51.0,True,-0.09981486454468336,-0.10222193694838345,,4,10.238940243463897,163,0.4233128834355828,81.5,True,,351,-0.10222193694838345,True,0.08586134998736261,-0.038988119406943786,,5,-4.6568110321562,86,0.27906976744186046,43.0,False,0.11104982623464532,-0.0919458378995804,,5,7.01474050522305,58.5,0.3789173789173789,5,
40,7.01474050522305,TrialState.COMPLETE,5.0,1480,1505,15.462092304361452,102,0.39215686274509803,51.0,True,-0.09981486454468336,-0.10222193694838345,,4,10.238940243463897,163,0.4233128834355828,81.5,True,,351,-0.10222193694838345,True,0.08586134998736261,-0.038988119406943786,,5,-4.6568110321562,86,0.27906976744186046,43.0,False,0.11104982623464532,-0.0919458378995804,,5,7.01474050522305,58.5,0.3789173789173789,5,
41,7.55857505886755,TrialState.COMPLETE,4.5,1480,1505,18.334303080439778,120,0.4083333333333333,60.0,True,-0.1392159634842901,-0.14011470816629024,,4,8.638199536714282,188,0.43617021276595747,94.0,True,,425,-0.14011470816629024,True,0.10675242803849949,-0.04296194541722251,,5,-4.29677744055141,117,0.28205128205128205,58.5,False,0.09699022362591347,-0.0916568110182804,,5,7.55857505886755,70.83333333333333,0.38588235294117645,5,
42,7.55857505886755,TrialState.COMPLETE,4.5,1480,1505,18.334303080439778,120,0.4083333333333333,60.0,True,-0.1392159634842901,-0.14011470816629024,,4,8.638199536714282,188,0.43617021276595747,94.0,True,,425,-0.14011470816629024,True,0.10675242803849949,-0.04296194541722251,,5,-4.29677744055141,117,0.28205128205128205,58.5,False,0.09699022362591347,-0.0916568110182804,,5,7.55857505886755,70.83333333333333,0.38588235294117645,5,
43,7.01474050522305,TrialState.COMPLETE,5.0,1500,1505,15.462092304361452,102,0.39215686274509803,51.0,True,-0.09981486454468336,-0.10222193694838345,,4,10.238940243463897,163,0.4233128834355828,81.5,True,,351,-0.10222193694838345,True,0.08586134998736261,-0.038988119406943786,,5,-4.6568110321562,86,0.27906976744186046,43.0,False,0.11104982623464532,-0.0919458378995804,,5,7.01474050522305,58.5,0.3789173789173789,5,
