trial_id,value,state,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,a_fold1_test_calmar,a_fold1_test_trades,a_fold1_test_win_rate,a_fold1_monthly_trades,a_fold1_all_pass,a_fold2_test_return,a_fold2_test_mdd,a_fold2_overfit,a_fold2_gates_passed,a_fold3_test_calmar,a_fold3_test_trades,a_fold3_test_win_rate,a_fold3_monthly_trades,a_fold3_all_pass,a_avg_overfit,a_agg_trades,a_worst_mdd,a_valid,a_fold1_test_return,a_fold1_test_mdd,a_fold1_overfit,a_fold1_gates_passed,a_fold2_test_calmar,a_fold2_test_trades,a_fold2_test_win_rate,a_fold2_monthly_trades,a_fold2_all_pass,a_fold3_test_return,a_fold3_test_mdd,a_fold3_overfit,a_fold3_gates_passed,a_avg_calmar,a_avg_monthly_trades,a_agg_win_rate,a_agg_gates_passed,a_failed_aggregate_gates
273,121.77912201826088,TrialState.COMPLETE,20,0.5,1440,207.7102394876068,99,0.5656565656565656,49.5,True,-0.1359174679763644,-0.14289852713127701,-0.690745221041669,3,161.77395632200063,110,0.5454545454545454,55.0,True,24.27933238754229,245,-0.14289852713127701,True,0.30968738125032247,-0.017758801429597338,,5,-4.146829754824788,36,0.3333333333333333,18.0,False,0.34604950143983415,-0.034013892450845726,49.249409996126246,5,121.77912201826088,40.833333333333336,0.5224489795918368,5,
274,121.77912201826088,TrialState.COMPLETE,20,0.5,1440,207.7102394876068,99,0.5656565656565656,49.5,True,-0.1359174679763644,-0.14289852713127701,-0.690745221041669,3,161.77395632200063,110,0.5454545454545454,55.0,True,24.27933238754229,245,-0.14289852713127701,True,0.30968738125032247,-0.017758801429597338,,5,-4.146829754824788,36,0.3333333333333333,18.0,False,0.34604950143983415,-0.034013892450845726,49.249409996126246,5,121.77912201826088,40.833333333333336,0.5224489795918368,5,
275,121.77912201826088,TrialState.COMPLETE,20,0.5,1440,207.7102394876068,99,0.5656565656565656,49.5,True,-0.1359174679763644,-0.14289852713127701,-0.690745221041669,3,161.77395632200063,110,0.5454545454545454,55.0,True,24.27933238754229,245,-0.14289852713127701,True,0.30968738125032247,-0.017758801429597338,,5,-4.146829754824788,36,0.3333333333333333,18.0,False,0.34604950143983415,-0.034013892450845726,49.249409996126246,5,121.77912201826088,40.833333333333336,0.5224489795918368,5,
276,121.77912201826088,TrialState.COMPLETE,20,0.5,1440,207.7102394876068,99,0.5656565656565656,49.5,True,-0.1359174679763644,-0.14289852713127701,-0.690745221041669,3,161.77395632200063,110,0.5454545454545454,55.0,True,24.27933238754229,245,-0.14289852713127701,True,0.30968738125032247,-0.017758801429597338,,5,-4.146829754824788,36,0.3333333333333333,18.0,False,0.34604950143983415,-0.034013892450845726,49.249409996126246,5,121.77912201826088,40.833333333333336,0.5224489795918368,5,
277,121.77912201826088,TrialState.COMPLETE,20,0.5,1440,207.7102394876068,99,0.5656565656565656,49.5,True,-0.1359174679763644,-0.14289852713127701,-0.690745221041669,3,161.77395632200063,110,0.5454545454545454,55.0,True,24.27933238754229,245,-0.14289852713127701,True,0.30968738125032247,-0.017758801429597338,,5,-4.146829754824788,36,0.3333333333333333,18.0,False,0.34604950143983415,-0.034013892450845726,49.249409996126246,5,121.77912201826088,40.833333333333336,0.5224489795918368,5,
278,121.77912201826088,TrialState.COMPLETE,20,0.5,1440,207.7102394876068,99,0.5656565656565656,49.5,True,-0.1359174679763644,-0.14289852713127701,-0.690745221041669,3,161.77395632200063,110,0.5454545454545454,55.0,True,24.27933238754229,245,-0.14289852713127701,True,0.30968738125032247,-0.017758801429597338,,5,-4.146829754824788,36,0.3333333333333333,18.0,False,0.34604950143983415,-0.034013892450845726,49.249409996126246,5,121.77912201826088,40.833333333333336,0.5224489795918368,5,
279,121.77912201826088,TrialState.COMPLETE,20,0.5,1440,207.7102394876068,99,0.5656565656565656,49.5,True,-0.1359174679763644,-0.14289852713127701,-0.690745221041669,3,161.77395632200063,110,0.5454545454545454,55.0,True,24.27933238754229,245,-0.14289852713127701,True,0.30968738125032247,-0.017758801429597338,,5,-4.146829754824788,36,0.3333333333333333,18.0,False,0.34604950143983415,-0.034013892450845726,49.249409996126246,5,121.77912201826088,40.833333333333336,0.5224489795918368,5,
280,121.77912201826088,TrialState.COMPLETE,20,0.5,1440,207.7102394876068,99,0.5656565656565656,49.5,True,-0.1359174679763644,-0.14289852713127701,-0.690745221041669,3,161.77395632200063,110,0.5454545454545454,55.0,True,24.27933238754229,245,-0.14289852713127701,True,0.30968738125032247,-0.017758801429597338,,5,-4.146829754824788,36,0.3333333333333333,18.0,False,0.34604950143983415,-0.034013892450845726,49.249409996126246,5,121.77912201826088,40.833333333333336,0.5224489795918368,5,
281,121.77912201826088,TrialState.COMPLETE,20,0.5,1440,207.7102394876068,99,0.5656565656565656,49.5,True,-0.1359174679763644,-0.14289852713127701,-0.690745221041669,3,161.77395632200063,110,0.5454545454545454,55.0,True,24.27933238754229,245,-0.14289852713127701,True,0.30968738125032247,-0.017758801429597338,,5,-4.146829754824788,36,0.3333333333333333,18.0,False,0.34604950143983415,-0.034013892450845726,49.249409996126246,5,121.77912201826088,40.833333333333336,0.5224489795918368,5,
282,112.68842985756187,TrialState.COMPLETE,20,0.5,1430,187.03930913490035,107,0.5327102803738317,53.5,True,-0.12267959883294943,-0.1330260349707368,-0.8321938902520062,4,155.1805571762848,115,0.5391304347826087,57.5,True,9.43845789331376,261,-0.1330260349707368,True,0.2917947286477687,-0.017822283113115154,,5,-4.154576738499492,39,0.41025641025641024,19.5,False,0.33149321648825913,-0.03268483794774092,19.709109676879528,5,112.68842985756187,43.5,0.5172413793103449,5,
283,112.68842985756187,TrialState.COMPLETE,20,0.5,1430,187.03930913490035,107,0.5327102803738317,53.5,True,-0.12267959883294943,-0.1330260349707368,-0.8321938902520062,4,155.1805571762848,115,0.5391304347826087,57.5,True,9.43845789331376,261,-0.1330260349707368,True,0.2917947286477687,-0.017822283113115154,,5,-4.154576738499492,39,0.41025641025641024,19.5,False,0.33149321648825913,-0.03268483794774092,19.709109676879528,5,112.68842985756187,43.5,0.5172413793103449,5,
