trial_id,value,state,p_chase_threshold_pct,p_limit_proximity_pct,p_vol_lookback_bars,p_volume_mult,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,a_fold1_test_calmar,a_fold1_test_return,a_fold1_test_trades,a_fold1_test_mdd,a_fold1_test_win_rate,a_fold1_overfit,a_fold1_monthly_trades,a_fold1_gates_passed,a_fold1_all_pass,a_fold2_test_calmar,a_fold2_test_return,a_fold2_test_trades,a_fold2_test_mdd,a_fold2_test_win_rate,a_fold2_overfit,a_fold2_monthly_trades,a_fold2_gates_passed,a_fold2_all_pass,a_fold3_test_calmar,a_fold3_test_return,a_fold3_test_trades,a_fold3_test_mdd,a_fold3_test_win_rate,a_fold3_overfit,a_fold3_monthly_trades,a_fold3_gates_passed,a_fold3_all_pass,a_avg_calmar,a_avg_overfit,a_avg_monthly_trades,a_agg_trades,a_agg_win_rate,a_worst_mdd,a_agg_gates_passed,a_valid,a_failed_aggregate_gates
30,-1000000.0,TrialState.COMPLETE,17.0,26.5,10,4.5,60,2.0,-3.5,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,1442.4126473750198,0.006745136997237555,2,-2.999233125001192e-05,1.0,,1.0,3,False,1442.4126473750198,,0.3333333333333333,2,1.0,-2.999233125001192e-05,3,False,"['trades', 'monthly_trades']"
31,-1000000.0,TrialState.COMPLETE,17.0,26.5,10,4.5,60,2.0,-3.5,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,1442.4126473750198,0.006745136997237555,2,-2.999233125001192e-05,1.0,,1.0,3,False,1442.4126473750198,,0.3333333333333333,2,1.0,-2.999233125001192e-05,3,False,"['trades', 'monthly_trades']"
32,-1000000.0,TrialState.COMPLETE,17.0,26.5,10,10.0,60,2.0,-3.5,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,,,0.0,0,0.0,0.0,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
33,-1000000.0,TrialState.COMPLETE,16.0,26.5,10,5.0,60,7.5,-3.5,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,-2.4716498515817698,-0.009687464400425005,2,-0.024067257231350964,0.5,,1.0,3,False,-2.4716498515817698,,0.3333333333333333,2,0.5,-0.024067257231350964,3,False,"['trades', 'monthly_trades', 'calmar_floor']"
34,-1000000.0,TrialState.COMPLETE,16.0,26.5,10,6.0,180,7.5,-4.0,3059.7805095059157,0.015432613430325093,1,-2.9960760374963285e-05,1.0,0.485537738079088,0.5,2,False,-5.604497457245023,-0.036001552354000266,4,-0.03600155235400021,0.0,-0.000879748016498352,2.0,1,False,2.6217890580592442,0.008241962540782355,4,-0.020242644349969648,0.5,,2.0,3,False,1018.9326003689099,0.24232899503129482,1.5,9,0.3333333333333333,-0.03600155235400021,1,False,"['overfit', 'trades', 'win_rate', 'monthly_trades']"
35,-1000000.0,TrialState.COMPLETE,15.0,26.5,10,10.0,180,2.5,-4.0,,0.0,0,0.0,0.0,,0.0,1,False,,0.0,0,0.0,0.0,,0.0,1,False,1044.9815808264993,0.004909143854299858,1,-2.9984062687605618e-05,1.0,3.6770079718471567,0.5,3,False,1044.9815808264993,3.6770079718471567,0.16666666666666666,1,1.0,-2.9984062687605618e-05,3,False,"['trades', 'monthly_trades']"
36,-1000000.0,TrialState.COMPLETE,20.0,26.0,20,5.0,180,2.5,-4.0,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,0.5309140873862094,0.0010198268662575671,4,-0.01213435166826717,0.75,,2.0,3,False,0.5309140873862094,,0.6666666666666666,4,0.75,-0.01213435166826717,3,False,"['trades', 'monthly_trades', 'calmar_floor']"
37,-1000000.0,TrialState.COMPLETE,20.0,26.0,20,5.5,180,5.0,-4.0,,0.0,0,0.0,0.0,,0.0,2,False,,0.0,0,0.0,0.0,,0.0,2,False,-5.664023073864425,-0.04035139729351256,3,-0.040351397293512524,0.0,,1.5,2,False,-5.664023073864425,,0.5,3,0.0,-0.040351397293512524,2,False,"['trades', 'win_rate', 'monthly_trades', 'calmar_floor']"
38,-1000000.0,TrialState.COMPLETE,20.0,25.5,20,5.5,210,7.0,-4.0,,0.0,0,0.0,0.0,,0.0,2,False,2911.866743157649,0.013686488760125126,1,-2.9926182750016452e-05,1.0,,0.5,3,False,-5.963325454965989,-0.02077427355791006,2,-0.020774273557910027,0.0,-0.006631518859210333,1.0,1,False,1452.9517088513417,-0.006631518859210333,0.5,3,0.3333333333333333,-0.020774273557910027,1,False,"['overfit', 'trades', 'win_rate', 'monthly_trades']"
39,-1000000.0,TrialState.COMPLETE,20.0,25.5,20,5.5,210,7.0,-3.0,,0.0,0,0.0,0.0,,0.0,2,False,2911.866743157649,0.013686488760125126,1,-2.9926182750016452e-05,1.0,,0.5,3,False,-5.990628487796595,-0.019042441966160117,2,-0.01904244196616009,0.0,-0.006661881209629935,1.0,1,False,1452.9380573349263,-0.006661881209629935,0.5,3,0.3333333333333333,-0.01904244196616009,1,False,"['overfit', 'trades', 'win_rate', 'monthly_trades']"
40,-1000000.0,TrialState.COMPLETE,20.0,25.5,20,5.5,270,7.5,-4.0,4.124948942534437,0.007023440226268773,2,-0.009914979652306602,0.5,,1.0,3,False,3401.2998952868966,0.015896066997874936,1,-2.9926182750016452e-05,1.0,,0.5,3,False,-5.963325454965989,-0.02077427355791006,2,-0.020774273557910027,0.0,-2.8731501569156372,1.0,1,False,1133.1538395914883,-2.8731501569156372,0.8333333333333334,5,0.4,-0.020774273557910027,2,False,"['overfit', 'trades', 'monthly_trades']"
41,-1000000.0,TrialState.COMPLETE,20.0,25.5,20,5.0,270,7.5,-3.0,-5.448326055211768,-0.02115396292114946,3,-0.021153962921149433,0.0,-7.5099424174566405,1.5,1,False,3401.2998952868966,0.015896066997874936,1,-2.9926182750016452e-05,1.0,,0.5,3,False,-5.85651384736193,-0.027633913180917014,3,-0.027633913180917055,0.0,,1.5,2,False,1129.9983517947742,-7.5099424174566405,1.1666666666666667,7,0.14285714285714285,-0.027633913180917055,1,False,"['overfit', 'trades', 'win_rate', 'monthly_trades']"
42,-1000000.0,TrialState.COMPLETE,20.0,25.5,20,5.0,270,7.5,-3.0,-5.448326055211768,-0.02115396292114946,3,-0.021153962921149433,0.0,-7.5099424174566405,1.5,1,False,3401.2998952868966,0.015896066997874936,1,-2.9926182750016452e-05,1.0,,0.5,3,False,-5.85651384736193,-0.027633913180917014,3,-0.027633913180917055,0.0,,1.5,2,False,1129.9983517947742,-7.5099424174566405,1.1666666666666667,7,0.14285714285714285,-0.027633913180917055,1,False,"['overfit', 'trades', 'win_rate', 'monthly_trades']"
43,-1000000.0,TrialState.COMPLETE,19.0,25.5,20,5.5,270,7.0,-3.0,-5.449015573374861,-0.02110026934606446,3,-0.021100269346064477,0.0,,1.5,2,False,2911.866743157649,0.013686488760125126,1,-2.9926182750016452e-05,1.0,,0.5,3,False,-5.887319684869008,-0.025641491863260146,3,-0.02564149186326012,0.0,,1.5,2,False,966.8434692998018,,1.1666666666666667,7,0.14285714285714285,-0.02564149186326012,2,False,"['trades', 'win_rate', 'monthly_trades']"
44,-1000000.0,TrialState.COMPLETE,20.0,25.5,20,5.5,270,7.0,-3.0,-5.541494673526782,-0.013963482676149441,2,-0.013963482676149457,0.0,,1.0,2,False,2911.866743157649,0.013686488760125126,1,-2.9926182750016452e-05,1.0,,0.5,3,False,-5.990628487796595,-0.019042441966160117,2,-0.01904244196616009,0.0,,1.0,2,False,966.7782066654419,,0.8333333333333334,5,0.2,-0.01904244196616009,2,False,"['trades', 'win_rate', 'monthly_trades']"
45,-1000000.0,TrialState.COMPLETE,20.0,24.0,20,6.0,270,5.0,-3.0,-5.630632374695856,-0.007203023895600125,1,-0.00720302389560014,0.0,,0.5,2,False,2028.7170269597061,0.009635595324249957,1,-2.9926182750016452e-05,1.0,,0.5,3,False,-6.1837033709857065,-0.007036512906725134,1,-0.007036512906725109,0.0,,0.5,2,False,672.3008970713415,,0.5,3,0.3333333333333333,-0.00720302389560014,2,False,"['trades', 'win_rate', 'monthly_trades']"
