strategy,trial_id,p_max_prev_return_pct,p_vol_mult,p_vol_lookback_days,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
post_drop_rebound,63,-7.0,3.0,3,1490,,0.0,0.0,,0.0,0,0.0,15130.508899018749,0.1297990442184294,-2.999490202128887e-05,inf,1.0,1,0.0580504818935736,,0.5,2,True,False,,False,2,False
post_drop_rebound,64,-6.0,3.25,7,1490,725.1140163852299,0.0709285452788414,-2.9994135300070048e-05,inf,1.0,1,0.0109023982972999,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,65,-4.0,4.0,10,1450,400.4630474349981,0.0707713738784339,-2.999467200487852e-05,inf,1.0,1,0.0060356176512483,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,66,-6.5,2.5,6,1430,0.4456210937274746,0.013058114943627,-0.0237049757802917,1.2283181669672143,0.6666666666666666,3,0.0053097626121156,15130.508899018749,0.1297990442184294,-2.999490202128887e-05,inf,1.0,1,0.0580504818935736,33953.75378767866,0.5,3,True,False,,True,3,False
post_drop_rebound,67,-3.5,3.5,3,1480,-1.968821854231972,-0.085734165805394,-0.0158001009497113,0.0,0.0,2,-0.0158001009497114,2122.3308130480336,0.1294501621539982,-2.998816690132022e-05,inf,1.0,1,0.0093476146291224,,0.5,2,True,False,,False,2,False
post_drop_rebound,68,-8.0,1.5,10,1450,4.33752721925534,0.0613455452922507,-0.0200740982695752,3.1578332140452323,0.6,5,0.0429729056353929,304.7763651275427,0.1758253335314967,-0.0045409964314375,28.13143134722995,0.9166666666666666,12,0.1399743196505514,70.26500347353814,6.0,4,True,False,,True,4,False
post_drop_rebound,69,-8.0,3.5,4,1450,535.7141018139399,0.0708599584881878,-2.9978304761350155e-05,inf,1.0,1,0.0080616476747361,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,70,-7.5,3.75,4,1460,,0.0,0.0,,0.0,0,0.0,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,71,-5.0,1.75,6,1430,0.0421795805875957,0.0033598653228216,-0.0519132616724478,1.0242445273880711,0.6,10,0.001102930361081,154.00819772643115,0.1906641226402969,-0.0074717108295938,10.977230287491723,0.7,10,0.1224088211381659,3651.250097345021,5.0,4,True,False,,True,4,False
post_drop_rebound,72,-3.5,1.75,9,1480,-1.6419790691707543,-0.0768135878469604,-0.0473887680940851,0.5194669303920497,0.4117647058823529,17,-0.0400021096215179,270.54221448077675,0.1989845225498333,-0.0059971045167002,13.506632519032266,0.8125,16,0.1564820267885094,,8.0,3,True,False,,True,3,False
post_drop_rebound,73,-6.0,2.25,8,1460,0.6487041363244097,0.0176267353714159,-0.0170686534491676,1.3324203602838518,0.6666666666666666,3,0.0055649515130549,142.68902096547188,0.1668235669164928,-0.0046241514812479,16.960306615063825,0.75,4,0.0794030200914486,219.9600911656816,2.0,3,True,False,,True,3,False
post_drop_rebound,74,-6.0,3.0,5,1470,725.1140163852299,0.0709285452788414,-2.9994135300070048e-05,inf,1.0,1,0.0109023982972999,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,75,-4.5,2.75,4,1430,1452.68198091592,0.0917861053135705,-2.999467200487852e-05,inf,1.0,2,0.0217269799331658,24859.72305152079,0.1732598207686889,-2.999490202128887e-05,inf,1.0,2,0.087642492708011,17.11298369368268,1.0,3,True,False,,True,3,False
post_drop_rebound,76,-4.5,3.75,4,1440,400.4630474349981,0.0707713738784339,-2.999467200487852e-05,inf,1.0,1,0.0060356176512483,,0.0,0.0,,0.0,0,0.0,,0.0,1,False,False,,False,1,False
post_drop_rebound,77,-4.0,2.25,7,1450,0.4843239035804071,0.0123055784552179,-0.0199222027485622,1.1483616575028994,0.7142857142857143,7,0.0048511073608519,12318.43546907256,0.1693617221306199,-5.329524509996176e-05,inf,1.0,4,0.0790789792799862,25434.29175807231,2.0,3,True,False,,True,3,False
post_drop_rebound,78,-5.5,1.75,6,1480,0.6224956721049577,0.0230991928563959,-0.0295810046675557,1.2994307910459733,0.5714285714285714,7,0.0092380980991808,192.68867182150947,0.1940556018499989,-0.0059680758488249,13.370703910255964,0.7777777777777778,9,0.1223518283277258,309.5421871286852,4.5,4,True,False,,True,4,False
