strategy,trial_id,p_vol_lookback_bars,p_volume_mult,p_entry_window_start_bar,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
volume_surge,12,30,4.5,15,210,3.5,-2.25,0.2607476507904669,0.0241002290289759,-0.2326567664081925,1.029058568549181,0.4604790419161677,1670,0.0301264992262417,-2.830940013379758,-0.3527754086898213,-0.26730791298233,0.6848317795485436,0.3698924731182795,465,-0.1919740024325508,-10.857010618495124,232.5,3,False,False,,False,3,False
volume_surge,13,30,4.0,60,360,1.5,-2.5,-1.4143907682386945,-0.3951935404685681,-0.4883888194033486,0.748750130652056,0.6083661715671416,3299,-0.4465017508394096,-2.685268927442337,-0.2585320635070154,-0.2806838091156922,0.7870203259366264,0.5850340136054422,1029,-0.1904687165081174,,514.5,3,False,False,,False,3,False
volume_surge,14,25,7.5,20,120,4.5,-1.5,1.4248495861739143,0.0619314886405184,-0.1454510189665711,1.1197748438072364,0.3240556660039761,503,0.0995688854419907,-3.776286329466227,-0.3467827974452385,-0.1749969929384051,0.4943146553486371,0.2211538461538461,104,-0.1504513771814376,-2.650305243521544,52.0,2,False,False,,False,2,False
volume_surge,15,15,7.0,60,300,2.5,-1.75,-1.5108537835998548,-0.292148209956077,-0.4076715254944903,0.7589895111421331,0.4186746987951807,1660,-0.3826167398213491,-3.713731316558187,-0.3468361803806601,-0.1980047121439598,0.6917903598619333,0.4009433962264151,424,-0.1816370149423998,,212.0,3,False,False,,False,3,False
volume_surge,16,5,3.5,5,210,4.0,-2.0,-1.2267928274283657,-0.1818870641861704,-0.3053546473235336,0.8850574886521112,0.3708267090620031,2516,-0.2106536057648093,-2.6892116929621035,-0.6392930428744316,-0.3402723283900641,0.5939187054066966,0.3239104829210836,849,-0.3105328267661053,,424.5,2,False,False,,False,2,False
volume_surge,17,5,3.5,50,210,2.5,-1.25,-1.3865624377752606,-0.6471037470350414,-0.593278734452293,0.6571156147839156,0.3250361794500723,3455,-0.5817131170970157,-2.200563204335051,-1.0837884180378208,-0.4449477817732233,0.4126246666910298,0.2872340425531915,1034,-0.4420738532204502,,517.0,2,False,False,,False,2,False
volume_surge,18,20,7.0,40,120,3.0,-2.5,0.1785976992950951,0.0110776067306956,-0.1218161196668526,1.021332787049778,0.5102420856610801,537,0.0109058441391471,-3.293570577285967,-0.3036956095885618,-0.1855432085663627,0.5988681702259039,0.4193548387096774,124,-0.1327381861090562,-18.441282224156957,62.0,3,False,False,,False,3,False
volume_surge,19,10,7.5,45,300,3.0,-1.5,-1.4781919801981678,-0.3490848519842183,-0.4548211762536603,0.7277367510247885,0.3520691785052501,1619,-0.4300892943678976,-3.1221023944047954,-0.6025022548333411,-0.2822464236299063,0.5039064062644095,0.3105134474327628,409,-0.2747512960819194,,204.5,2,False,False,,False,2,False
volume_surge,20,25,5.0,30,150,2.0,-1.0,-1.380024188568868,-0.5872563742792588,-0.6037973360831062,0.6022367909858376,0.3124274099883856,1722,-0.5945480331503675,-2.461042255552837,-1.074137740467792,-0.3897275291528611,0.3289946518244376,0.2369077306733167,401,-0.3825537557222173,,200.5,2,False,False,,False,2,False
volume_surge,21,20,2.5,5,90,2.0,-2.5,-1.3375913087912077,-0.2639831307183805,-0.3803736809881207,0.8177149566633061,0.5614901256732495,2228,-0.3011066518930709,-2.8204336121927764,-0.6285411445427286,-0.3170674276542644,0.556422817320772,0.4788937409024745,687,-0.2873820512389854,,343.5,3,False,False,,False,3,False
