strategy,trial_id,p_ema_period,p_pullback_lookback_bars,p_proximity_pct,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
intraday_pullback,77,15,6,1.4,210,2.0,-2.25,-1.3416671776324474,-0.8287417493222191,-0.6394144477720538,0.7087477871914459,0.5127853881278539,6570,-0.6259212841244446,-1.7702014981265697,-1.3684970792091533,-0.5623138097549926,0.5144618563352668,0.4319609211444522,2866,-0.5559477724422335,,1433.0,3,False,False,,False,3,False
intraday_pullback,78,15,3,0.6000000000000001,240,2.25,-2.0,-1.310619239622122,-0.9046020774085366,-0.6779264716716652,0.698185421044063,0.4555050579093974,6821,-0.6689832629122126,-1.5931098761186546,-1.602002394207502,-0.6266510949936552,0.4880132306780647,0.3914590747330961,3091,-0.6185511963843924,,1545.5,3,False,False,,False,3,False
intraday_pullback,79,40,4,0.8,210,3.5,-1.0,-1.1999583723950713,-1.2150814564506356,-0.7984093201201965,0.6212833542841846,0.2188010556742491,7957,-0.7977636772907902,-1.3389078935507366,-1.973730288904973,-0.7467879897431267,0.3904282403796248,0.1762762762762763,3330,-0.7437978655820838,,1665.0,2,False,False,,False,2,False
intraday_pullback,80,25,13,1.0,60,1.25,-2.0,-1.1675722818423224,-1.249948332800258,-0.8310804159757967,0.5146328261130946,0.5682346628510105,5591,-0.8301853704674078,-1.7649456753188402,-1.3236216815153663,-0.564166385792717,0.3638257958000312,0.4854881266490765,1895,-0.5606703739625662,,947.5,3,False,False,,False,3,False
intraday_pullback,81,15,12,0.8,60,1.25,-1.5,-1.0769098194446556,-1.6416077632496462,-0.9228175118845748,0.4692045673282204,0.486249442544968,6727,-0.922777382991379,-1.5155975895054117,-1.794213413885808,-0.6592828090861755,0.3236167528870729,0.4198375374091492,2339,-0.6592828090861755,,1169.5,3,False,False,,False,3,False
intraday_pullback,82,20,14,1.0,240,3.25,-1.0,-1.1667291389884855,-1.4170181320658577,-0.8317026241063323,0.5960877306845876,0.2260718925941966,9236,-0.8302581971789841,-1.3661947002733823,-2.0470068858790875,-0.7318359244936876,0.3845079017221326,0.1789693593314763,4308,-0.7299549520771974,,2154.0,2,False,False,,False,2,False
intraday_pullback,83,10,9,0.6000000000000001,180,1.0,-1.5,-1.0440957399021404,-2.3995191351926977,-0.9557782229992684,0.4383289324833362,0.5159976730657359,12033,-0.9555398609406284,-1.186940044767781,-2.9905582787517164,-0.8424984085371106,0.2831851553785395,0.4461479494059026,5218,-0.8417542547646675,,2609.0,3,False,False,,False,3,False
intraday_pullback,84,10,11,0.6000000000000001,210,2.5,-2.75,-1.388343205858429,-0.3775515036409621,-0.4295079189255949,0.8360052550373512,0.5321841588479163,4583,-0.3669125131541582,-1.971124939998899,-1.014424900240535,-0.5002925050130785,0.535690931119204,0.4450895016932752,2067,-0.4754411023235045,,1033.5,3,False,False,,False,3,False
intraday_pullback,85,35,8,1.0,360,1.25,-2.0,-1.1623553728162106,-1.4425609248442115,-0.8367083629795427,0.5896558588344224,0.5630252100840336,10829,-0.8366740139383919,-1.4402483868913534,-1.4633918526095684,-0.6940463291936113,0.5053331362982508,0.4985367892976589,4784,-0.6925613834463924,,2392.0,3,False,False,,False,3,False
intraday_pullback,86,30,7,1.3,210,2.5,-2.0,-1.3622834035259324,-0.693753346904168,-0.5988131444472343,0.7523593188754857,0.4412402067011168,5999,-0.5736317202940519,-1.7149898355468922,-1.4401283437886516,-0.5812276041318716,0.4927799676164907,0.3631618195376584,2682,-0.5794631520485325,,1341.0,3,False,False,,False,3,False
intraday_pullback,87,30,5,0.6000000000000001,240,3.5,-1.5,-1.369450505749704,-0.7344123354662035,-0.6085045772912164,0.7204017100244927,0.30471186997209,6091,-0.5946239830980491,-1.5592627992075676,-1.4629221051091408,-0.6403249360580398,0.4786627919670837,0.2428977272727272,2816,-0.6224653998169185,,1408.0,2,False,False,,False,2,False
intraday_pullback,88,35,14,0.5,330,3.25,-2.0,-1.4199139706090853,-0.4686807174153604,-0.4703741044294143,0.8132323274749451,0.4004432951606945,5414,-0.4262260866506232,-1.8846961716695976,-0.9285095373562996,-0.5255874429289628,0.5848601376881254,0.3199700262270513,2669,-0.5050619123419465,,1334.5,2,False,False,,False,2,False
intraday_pullback,89,25,11,0.0,180,2.0,-2.25,-1.3666119662384908,-0.7745953827444045,-0.6177814521753242,0.7123973779037633,0.5102683007618417,6038,-0.6082718799921393,-1.6913760346203115,-1.440904019358891,-0.5896256629321049,0.4241372427959551,0.4221085759244689,2542,-0.5896256629321048,,1271.0,3,False,False,,False,3,False
intraday_pullback,90,25,15,1.0,270,2.75,-1.25,-1.2209803507036368,-1.191458277332075,-0.7766979065432031,0.6467228684047549,0.3003970504821327,8815,-0.7753528958972841,-1.4358847860765298,-1.9793374336424547,-0.696173009293744,0.4308653694715063,0.2410343986338131,4099,-0.6955474889262143,,2049.5,2,False,False,,False,2,False
intraday_pullback,91,35,6,1.5,120,3.5,-2.75,-0.813256849162746,-0.1053037883766219,-0.2834474923123827,0.9434934107188444,0.4801365611421477,3222,-0.1237090677479068,-2.337485813650757,-0.808934648094227,-0.4127822020766353,0.5821493585492538,0.3696275071633237,1396,-0.3964784795873615,,698.0,3,False,False,,False,3,False
intraday_pullback,92,20,11,1.0,90,4.0,-2.25,-1.1701500273710177,-0.2018189650570595,-0.3446913200971828,0.8925003116170928,0.3981873111782477,3310,-0.2291439508383403,-2.169020612286357,-0.9096337081969073,-0.4503722396863501,0.5053794885541602,0.3049853372434017,1364,-0.4333205075880517,,682.0,2,False,False,,False,2,False
