strategy,trial_id,p_opening_window_min,p_breakout_buffer_pct,p_entry_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
orb,100,30,0.1,180,3.0,-4.0,2.2634493322077955,0.1279479333060676,-0.19754537641142828,1.1422999361706043,0.642433234421365,1348,0.2047343839782656,-2.8019361085937917,-0.33713200480467287,-0.2772695075944035,0.6588698195680653,0.5382716049382716,405,-0.20244547597235318,-1.2379053812796197,202.5,3,False,False,
orb,101,15,0.45,150,3.5,-1.5,-1.5391414859381694,-0.22937747989605844,-0.389916459826678,0.8406047594356327,0.3311053984575835,1945,-0.36994840997927747,-1.9821983747294871,-0.9814263102395951,-0.49872470243016104,0.42429126867068356,0.23064770932069512,633,-0.4904834637164799,,316.5,2,False,False,
orb,102,35,0.30000000000000004,180,5.0,-4.0,4.5155524977798995,0.2072176291819057,-0.2056730596921112,1.2947211037245325,0.565121412803532,906,0.3924110574754811,-2.4364697341969954,-0.17407537782174626,-0.2318541828569339,0.7865639987308444,0.436426116838488,291,-0.11793483584836606,-0.5395728950986399,145.5,3,False,False,
orb,103,40,0.45,90,3.0,-4.0,2.0633776295351587,0.09939604091355299,-0.18230026438269434,1.158812750737617,0.6479099678456591,622,0.17458332244057218,-3.160675652458903,-0.21327824336470863,-0.19854759731541385,0.7135301664875539,0.5130890052356021,191,-0.13837015880537185,-1.5317969949935657,95.5,3,False,False,
orb,104,40,0.0,180,5.0,-1.5,-0.9004608928949,-0.07741377960591668,-0.28901274462969767,0.9256456768594721,0.2767732962447844,1438,-0.1409379013520361,-2.895398841611451,-0.6169269567897545,-0.30780417522815534,0.516473506840455,0.19612590799031476,413,-0.28431780716755484,,206.5,2,False,False,
orb,105,60,0.15000000000000002,120,4.0,-4.0,15.41128310598716,0.28587120061635557,-0.10105306935020489,1.5004557276612935,0.6310077519379845,645,0.6051437732228362,-2.928380980714689,-0.35149491011876166,-0.2625553687898625,0.5738776969596366,0.48058252427184467,206,-0.1981820089943288,-0.19001539070922893,103.0,3,False,False,
orb,106,60,0.25,180,3.5,-1.5,-1.3999144106344068,-0.11980845026336863,-0.2838462920978427,0.8780308537203415,0.33809099018733274,1121,-0.22525995520041497,-2.744470754512069,-0.7320018104695545,-0.33708943263264807,0.4409374708814931,0.24545454545454545,330,-0.32352626256077865,,165.0,2,False,False,
orb,107,15,0.2,180,3.0,-1.5,-1.4468748546518202,-0.3839420636797239,-0.5362285420251023,0.7671046027868195,0.3548,2500,-0.5293623332939592,-1.8732441413305374,-1.114380415690346,-0.5298036050328074,0.4213181900074508,0.26380368098159507,815,-0.5213755630895927,,407.5,2,False,False,
orb,108,40,0.25,150,3.0,-2.0,-1.5695926626231091,-0.15241127253749356,-0.28834843313858016,0.8577786082104694,0.4176,1250,-0.2618951011447803,-2.9809288278378347,-0.5391164000405755,-0.2902640734929512,0.5588165405066873,0.3472222222222222,360,-0.26084539788567696,,180.0,2,False,False,
orb,109,20,0.15000000000000002,150,4.0,-1.5,-1.4909894831926442,-0.2573744740818901,-0.4085309961132369,0.8086319182312058,0.3057259713701431,1956,-0.3771185249478243,-2.273954064862249,-0.8997880941311771,-0.4282682199639275,0.42572741558689203,0.218213058419244,582,-0.42278970368549684,,291.0,2,False,False,
orb,110,20,0.45,180,3.0,-2.5,-1.0714692494819957,-0.11173073134807741,-0.31953973942292363,0.910027886551465,0.4903905765654061,1613,-0.1904080487109001,-2.279668457658075,-0.7740705660450998,-0.42652064483562263,0.46058508021230515,0.36693548387096775,496,-0.41779605634560935,,248.0,3,False,False,
orb,111,50,0.0,120,3.0,-3.5,2.383160729619357,0.10601592512581008,-0.1616855481790704,1.1438175053163593,0.609673790776153,889,0.1785205978124722,-3.0726322318785546,-0.3675213518928972,-0.24580428237684007,0.6158771246222445,0.5092936802973977,269,-0.19124134748540134,-1.2893096943441666,134.5,3,False,False,
orb,112,40,0.45,180,3.5,-2.5,-0.45754828544599585,-0.021718355399113473,-0.20930034506129144,0.9789039362994696,0.4540441176470588,1088,-0.04946707155698238,-2.8579025960387225,-0.35174615712835244,-0.2792519418187436,0.645835282814995,0.3486238532110092,327,-0.21435359764559758,,163.5,2,False,False,
orb,113,45,0.35000000000000003,210,2.5,-2.0,-1.5764571105880778,-0.23087790712046996,-0.3842423913947794,0.7939150750580075,0.44700139470013944,1434,-0.3744148861301133,-2.722393976283253,-0.6603452202882822,-0.3403512923875721,0.5023289871986791,0.36619718309859156,426,-0.3255020190740323,,213.0,3,False,False,
orb,114,45,0.1,210,1.5,-3.0,-1.4465704015277001,-0.2305895347354402,-0.3873199214519575,0.8010436331831192,0.6578947368421053,1748,-0.33904881196028425,-2.7439820486300275,-0.599229400181834,-0.3294045049467375,0.5322581810114094,0.5897920604914934,529,-0.29755109355589837,,264.5,3,False,False,
orb,115,50,0.5,210,3.5,-4.0,3.08090741129824,0.13561945451296195,-0.18471993990928234,1.1951727987426999,0.6117084826762246,837,0.25488059748653114,-2.745359338420793,-0.4014230069312718,-0.3035413610661362,0.5745469266469466,0.4864864864864865,259,-0.23676021847652284,-0.8910879075278496,129.5,3,False,False,
orb,116,25,0.5,120,2.5,-1.0,-1.211656227288734,-0.7014713035860776,-0.7861325917847718,0.5834757110274658,0.27521008403361347,1904,-0.7847257336101954,-2.0800213547700763,-0.9776875428110035,-0.47335146476310813,0.43593756118806154,0.24729241877256317,554,-0.46694782193935813,,277.0,2,False,False,
orb,117,25,0.1,60,1.0,-3.5,-1.459873763466844,-0.418362289395539,-0.5103107847398621,0.6071268975786461,0.7480127186009539,1258,-0.4977450189152516,-2.5733077004974625,-0.7506511824545556,-0.37030756179089963,0.30006590000250366,0.6627565982404692,341,-0.3692188584981534,,170.5,3,False,False,
orb,118,45,0.45,240,1.5,-2.5,-1.428071835410233,-0.36608225224449614,-0.5434077226786073,0.6868836738253952,0.594306049822064,1686,-0.5295419095150796,-2.6845654207938767,-0.6566474849333837,-0.34873341581909684,0.5303268208336656,0.528046421663443,517,-0.339645807803309,,258.5,3,False,False,
orb,119,40,0.5,180,2.5,-1.5,-1.4116513382392033,-0.40109795476878246,-0.578985044734043,0.6847674024593844,0.37044534412955465,1482,-0.5754687177826077,-2.3907981809615135,-0.799909052744806,-0.40320136286236596,0.4582338180866439,0.289237668161435,446,-0.394173135794434,,223.0,2,False,False,
orb,120,40,0.35000000000000003,150,2.5,-3.5,-0.010762606471187673,0.0036636556280903653,-0.2597686442499281,1.008049243866502,0.6336448598130842,1070,-0.0014099665979679932,-2.9357189796717327,-0.37813037380451203,-0.2766280881087402,0.602813659892884,0.5232198142414861,323,-0.2228372849263599,,161.5,3,False,False,
orb,121,60,0.0,240,1.5,-1.0,-1.0879647333435485,-1.1281834137244005,-0.9117020881694772,0.43038774396169016,0.3475229357798165,2725,-0.9117020881694772,-1.7754898667970247,-1.470690384069607,-0.560631487766421,0.36253328365186954,0.31141868512110726,867,-0.555755160788566,,433.5,2,False,False,
orb,122,40,0.15000000000000002,90,5.0,-2.5,1.0169694175076662,0.06807238846616781,-0.22607107369252807,1.0952792120810815,0.4206989247311828,744,0.10992296717953232,-3.0697291341280595,-0.4206505138198279,-0.26362829252375203,0.5488076356199114,0.26785714285714285,224,-0.22108040242476745,-3.018506831455351,112.0,2,False,False,
orb,123,10,0.4,90,1.5,-2.5,-1.4173847337286345,-0.480668864099083,-0.5762683800161321,0.6863651297962693,0.6093528578176665,2117,-0.5748472440269814,-2.0864208097677106,-0.9714585030926449,-0.472167546855137,0.4092160724058269,0.4941002949852507,678,-0.46990808388240446,,339.0,3,False,False,
orb,124,20,0.35000000000000003,210,5.0,-2.0,-0.6681053692497723,-0.04734405455991672,-0.25362984531350274,0.9587767115474525,0.33865814696485624,1565,-0.08932685642271077,-2.5720682820122818,-0.5404178259927496,-0.3561856490769181,0.5518934258457583,0.24520255863539445,469,-0.31184900753233125,,234.5,2,False,False,
