strategy,trial_id,p_min_change_pct,p_entry_hhmm_min,p_entry_hhmm_max,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
close_to_open,44,4.0,1450,1520,0.9429357986596184,0.0400472035111795,-0.200636695731249,1.079045397623128,0.4130808950086058,581,0.0912488132813575,7.693611213602082,0.1082679584983342,-0.1509363411951479,1.317051805644103,0.359375,256,0.12323662084022,8.159210016777958,128.0,4,True,False,,True,4,False
close_to_open,45,5.5,1430,1520,3.8455359848631865,0.0785154471933631,-0.1127145602855659,1.186972102615459,0.3985680190930787,419,0.1989788415452438,8.760129188735773,0.1084795679051454,-0.1263601624543439,1.331615634554474,0.3417085427135678,199,0.1189338777311856,2.277999535881975,99.5,4,True,False,,True,4,False
close_to_open,46,4.0,1500,1500,1.3810014282727032,0.0524078311407602,-0.1910299097111353,1.120032629975504,0.4086242299794661,487,0.1252391639214558,5.127331991630031,0.0738384642582175,-0.1102536231580442,1.2348446044976435,0.3869346733668342,199,0.0699029136232798,3.7127637138240153,99.5,5,True,True,,True,5,True
close_to_open,47,2.0,1480,1510,-0.1816102988273827,-0.0026112720477887,-0.2797230915389367,0.9931869283373744,0.387,1000,-0.025932894243474,5.2640419799364,0.0815335283718779,-0.1324970678318121,1.1787209917045305,0.3666666666666666,360,0.083060466540741,,180.0,4,True,False,,True,4,False
close_to_open,48,3.0,1430,1505,1.9487204288172688,0.0635658876278974,-0.1885919351252195,1.123118937731027,0.4072727272727273,825,0.1708604473574453,1.6626486342641085,0.036760835192378,-0.1446388088993677,1.0914281950383278,0.3636363636363636,308,0.03302998658925,0.8532001869930695,154.0,5,False,False,,False,5,False
close_to_open,49,6.0,1440,1500,4.86416493158548,0.1017594003720714,-0.1116046798103659,1.2990844953963767,0.3791946308724832,298,0.2442598679487455,0.7640788522187691,0.0224277254772024,-0.1331341228808242,1.056008187003929,0.2980132450331126,151,0.0147156771349172,0.1570832533365016,75.5,3,False,False,,False,3,False
close_to_open,50,5.0,1440,1520,1.8755849841353225,0.0581938413894038,-0.1490894727299314,1.1245450326217932,0.4013605442176871,441,0.1323146876261118,7.036387642216514,0.0961183425497304,-0.1296717297583662,1.2812788795641428,0.3537735849056603,212,0.1027091782758513,3.751569617870668,106.0,5,True,True,,True,5,True
close_to_open,51,2.5,1450,1515,0.8456510521166001,0.0385961570812073,-0.2237544281404923,1.0692600993973076,0.4032967032967033,910,0.09126298519219,7.049110763538657,0.0984670809606073,-0.1533474878087889,1.255275605420372,0.3728323699421965,346,0.1168433379609796,8.33572044390564,173.0,4,True,False,,True,4,False
close_to_open,52,5.5,1450,1510,3.722445250271784,0.0797999250817056,-0.1032803555963539,1.1951029224087195,0.4045584045584046,351,0.1781487493137217,17.092771451152,0.1466321873248055,-0.0933728799041769,1.446494905538986,0.3293413173652694,167,0.1547143132913837,4.591812720389647,83.5,4,True,False,,True,4,False
close_to_open,53,5.5,1490,1505,2.9591614712160337,0.0693669089267802,-0.108891539386965,1.1735681868235548,0.3975535168195718,327,0.1511568204371107,4.168004598037781,0.0642815047843736,-0.1164733826942278,1.2059992401395727,0.3653846153846153,156,0.0614892789651362,1.4085086733455563,78.0,5,True,True,,True,5,True
close_to_open,54,5.5,1460,1510,2.3247253724361343,0.060864538201472,-0.1179104170501168,1.1482029267470633,0.3982035928143712,334,0.1298501205249265,20.2915557004768,0.1498270416767973,-0.0840569059408497,1.4851692188095018,0.3641975308641975,162,0.1619400023392794,8.728581853611724,81.0,5,True,True,,True,5,True
close_to_open,55,4.5,1480,1515,1.248772649223119,0.0475441074287547,-0.1778273034545293,1.103203708964822,0.4222689075630252,476,0.1063509718369317,17.6340576386301,0.1539356646454926,-0.1053137498833043,1.4685294567874696,0.3969072164948453,194,0.171523115095131,14.121111356499137,97.0,5,True,True,,True,5,True
close_to_open,56,5.5,1500,1500,3.721509077768877,0.0782626447861698,-0.1036805680631951,1.2182419757676666,0.3940397350993377,302,0.1787458883735893,6.312779134716451,0.0800776000942112,-0.0948952641760424,1.274374183347659,0.3581081081081081,148,0.0733496482259377,1.696295508837263,74.0,5,True,True,,True,5,True
close_to_open,57,3.0,1460,1500,0.2867128641328761,0.0196842785385408,-0.2466278608089553,1.0362648894387734,0.4044444444444444,675,0.0350324289950294,6.520447807195468,0.0896913841550942,-0.1147595113024448,1.2793039976771765,0.4,260,0.087888345770166,22.742083188055304,130.0,5,True,True,,True,5,True
close_to_open,58,4.0,1430,1520,1.8892365399037927,0.0657730348546086,-0.2021328843192297,1.1362947163832016,0.4184952978056426,638,0.1770423408686832,6.3458610503867385,0.0956000564101688,-0.1533986578866341,1.2700323661285735,0.3688212927756654,263,0.1079447698000306,3.358955279739557,131.5,4,True,False,,True,4,False
close_to_open,59,5.5,1460,1520,2.7508604276667468,0.0660879779614918,-0.1146320524371344,1.159510535428971,0.4017094017094017,351,0.1481294329603024,19.078961994884736,0.148812908325077,-0.0899709495544837,1.5182259203923154,0.3757225433526011,173,0.1626451118729253,6.935634321173949,86.5,5,True,True,,True,5,True
close_to_open,60,3.0,1430,1500,1.2851987510696523,0.0514743669939743,-0.2203821575121833,1.1000205493344748,0.4029484029484029,814,0.1339211689689625,0.2144089639084985,0.0141389556341455,-0.1649784220945856,1.0232525488621138,0.3547297297297297,296,0.0052555918783356,0.1668294213093881,148.0,3,False,False,,False,3,False
close_to_open,61,1.5,1460,1500,0.2495897234376944,0.0182826067554763,-0.2614819491418858,1.0296550346022666,0.3910614525139664,1074,0.0323748588762609,1.0119851273032787,0.0282384877927667,-0.1457800352791614,1.060187862922289,0.3787465940054496,367,0.020967413445009,4.054594529633759,183.5,5,False,False,,False,5,False
close_to_open,62,1.5,1480,1500,0.2495897234376944,0.0182826067554763,-0.2614819491418858,1.0296550346022666,0.3910614525139664,1074,0.0323748588762609,1.0119851273032787,0.0282384877927667,-0.1457800352791614,1.060187862922289,0.3787465940054496,367,0.020967413445009,4.054594529633759,183.5,5,False,False,,False,5,False
close_to_open,63,5.5,1460,1510,2.3247253724361343,0.060864538201472,-0.1179104170501168,1.1482029267470633,0.3982035928143712,334,0.1298501205249265,20.2915557004768,0.1498270416767973,-0.0840569059408497,1.4851692188095018,0.3641975308641975,162,0.1619400023392794,8.728581853611724,81.0,5,True,True,,True,5,True
close_to_open,64,5.0,1460,1520,2.616087891273836,0.062850879122381,-0.1160908856421399,1.1428512133239486,0.4172839506172839,405,0.143000846017264,17.506926478196046,0.1415835405519931,-0.0899095817170031,1.4754353800520603,0.3850267379679144,187,0.1532359970773442,6.692025346928044,93.5,5,True,True,,True,5,True
