strategy,trial_id,p_gap_threshold_pct,p_volume_mult,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
gap_up_chase,78,6.5,2.0,30,4.0,-4.0,-1.349558065462025,-0.0980641782308147,-0.2105054663508797,0.7227291753960581,0.4390243902439024,82,-0.1550063320742567,-2.868110809276498,-0.118329503157628,-0.1694268638848185,0.7680798516782278,0.5384615384615384,117,-0.0954692153960495,,58.5,3,False,False,,False,3,False
gap_up_chase,79,2.0,2.5,45,4.0,-2.0,-1.3889071766536347,-0.3059984603726015,-0.5606288158541312,0.7337752351672863,0.3206470028544244,1051,-0.5323406584467445,-2.425583374185152,-0.6131562123958435,-0.397665785069661,0.5154743560297895,0.3304042179261863,569,-0.3957014161515823,,284.5,2,False,False,,False,2,False
gap_up_chase,80,3.0,4.0,30,7.0,-1.5,-1.411559033692834,-0.2412982829198694,-0.4943033762813623,0.6991723763381943,0.1849056603773584,530,-0.4528208771199931,-2.9380215193894617,-0.3844478600913723,-0.3041779504897543,0.5810647814042378,0.1892655367231638,354,-0.2867876134935416,,177.0,2,False,False,,False,2,False
gap_up_chase,81,3.5,5.0,45,2.0,-4.0,-1.500787717188449,-0.2746337707134643,-0.4518429848289786,0.6275477261810872,0.6072351421188631,387,-0.4352020289712556,-3.231254293328284,-0.3061651844135905,-0.256031942883747,0.6417101538791496,0.6190476190476191,294,-0.232661672913123,,147.0,3,False,False,,False,3,False
gap_up_chase,82,6.5,4.5,45,2.0,-4.0,-0.893835601826873,-0.0559898032944219,-0.1853317243165577,0.8495409183298007,0.6379310344827587,116,-0.0872319567756941,-2.361917383956682,-0.0521429177765347,-0.1208906249599484,0.889233133263663,0.6571428571428571,140,-0.0494359668861971,,70.0,4,False,False,,False,4,False
gap_up_chase,83,4.0,2.5,90,4.0,-3.5,-1.435865809566502,-0.1529206167555211,-0.3550005965616951,0.7747529838339047,0.4472049689440994,322,-0.3017872240565219,-2.886916902979655,-0.3189595030544592,-0.2989912384291269,0.6498531089728117,0.4448160535117056,299,-0.2591248198354543,,149.5,3,False,False,,False,3,False
gap_up_chase,84,7.0,5.0,75,7.5,-2.5,1.7600857285930478,0.065878373862531,-0.1524402991330094,1.2499170029990734,0.35,80,0.1272545241640432,0.1859067718545295,0.0108531904232545,-0.1113475761783363,1.0132425832794794,0.3364485981308411,107,0.0030943782034476,0.1056237027744875,53.5,3,False,False,,False,3,False
gap_up_chase,85,5.5,1.5,15,2.5,-1.5,-1.521720809837508,-0.3014610128822204,-0.3609823164088104,0.5003760900324216,0.3190184049079754,163,-0.330788537600998,-3.1420506601625853,-0.3747826677182896,-0.2807005688916536,0.4673988044866692,0.3805309734513274,226,-0.2754650386763915,,113.0,3,False,False,,False,3,False
gap_up_chase,86,2.5,1.5,45,6.5,-2.0,-0.9909640467381216,-0.0629704543132392,-0.2885862613475533,0.9188571328661976,0.2639664804469274,716,-0.1561308695716676,-2.4834515323951645,-0.543831783956992,-0.3842038110053016,0.5122695158762215,0.2354211663066954,463,-0.3717445456937523,,231.5,2,False,False,,False,2,False
gap_up_chase,87,2.5,4.5,30,2.0,-3.0,-1.4457150366828253,-0.3213832104014837,-0.5459548984123662,0.6414533069835878,0.5265625,640,-0.543802000204711,-3.199396158464019,-0.2412324561046712,-0.2311039250361346,0.7461777400634964,0.5883777239709443,413,-0.1835409526448626,,206.5,3,False,False,,False,3,False
gap_up_chase,88,4.0,1.5,45,3.5,-1.5,-1.4167656481559578,-0.3725670239541724,-0.5561467146107643,0.5994252985742841,0.2851063829787234,470,-0.5423142717938982,-2.421708551900872,-0.5426433946183775,-0.3985631443216967,0.4719759258542159,0.2863436123348017,454,-0.3973400860538989,,227.0,2,False,False,,False,2,False
gap_up_chase,89,3.0,2.0,45,8.0,-2.0,-0.6709067876696369,-0.0368819524284199,-0.2903234356652479,0.9432827051089868,0.2400756143667296,529,-0.1034305600770055,-2.889116184521882,-0.3563594557171279,-0.3087452642731835,0.6160256346961507,0.2073490813648294,381,-0.2850990579058742,,190.5,2,False,False,,False,2,False
gap_up_chase,90,4.5,2.5,30,3.0,-1.0,-1.394016181054176,-0.4913243753513426,-0.5874322998812614,0.4698920658391673,0.2238442822384428,411,-0.5773057075279515,-2.5865465357160287,-0.4938546498519416,-0.3669679375782815,0.4930776633566242,0.2684729064039409,406,-0.3619147632930016,,203.0,2,False,False,,False,2,False
