strategy,trial_id,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
trend_followthrough,55,20,0.2,1470,9.440654676153134,0.14331654706908895,-0.11891600152311453,1.7073368228638193,0.5604838709677419,248,0.4612879606378928,20.601379448090356,0.13380058140660303,-0.050679242382661256,1.9590945810131632,0.45652173913043476,46,0.11383418609039686,2.18219817955305,23.0,5,True,True,
trend_followthrough,56,19,0.9,1490,12.073971420921618,0.1580302173977963,-0.11068503593552485,1.8803551829298655,0.5674418604651162,215,0.5336873426300708,7.071167396602701,0.0743199935623351,-0.050679242382661256,1.4362305117595422,0.38461538461538464,39,0.04726808259556825,0.5856538126593439,19.5,5,True,True,
trend_followthrough,57,9,0.8,1460,16.20481425137612,0.173177761859168,-0.08841249952192166,1.8853969172103002,0.5576208178438662,269,0.5652261921214805,0.43756432212287705,0.012064202587394707,-0.06669451364439864,1.0328603145536865,0.3492063492063492,63,0.004347063781117377,0.027002118958921042,31.5,3,False,False,
trend_followthrough,58,12,0.6000000000000001,1480,8.09166243003873,0.14138542427991585,-0.13341602458737378,1.6488189189769165,0.5366795366795367,259,0.44626291111064464,3.881202918849446,0.04599780645057975,-0.050679242382661256,1.211794100237663,0.36538461538461536,52,0.027447148126449994,0.4796545768445841,26.0,4,True,True,
trend_followthrough,59,17,0.8,1500,11.169402474635952,0.15554387514443832,-0.11602159337196133,1.8468142399869056,0.5688888888888889,225,0.5202256721984919,4.762868491065423,0.054448130223783905,-0.050679242382661256,1.2864967836711396,0.37209302325581395,43,0.03314234836602559,0.4264210643211387,21.5,4,True,True,
trend_followthrough,60,6,0.30000000000000004,1460,21.224957226040388,0.1704551085908224,-0.07739762139286857,1.7409563513572115,0.536723163841808,354,0.6319385229116672,4.157409765112797,0.04762136579841135,-0.05459263755861335,1.1725972502748123,0.37333333333333335,75,0.03132435205303441,0.19587364633235496,37.5,4,True,True,
trend_followthrough,61,5,0.5,1430,11.56878243329512,0.1623279046859149,-0.11225585100935613,1.594317792192583,0.5270935960591133,406,0.5211503010777268,13.164827353912463,0.09520588897026526,-0.041682665405914185,1.3913212065289275,0.39759036144578314,83,0.06818818315171526,1.1379613567650735,41.5,5,True,True,
trend_followthrough,62,20,0.30000000000000004,1460,12.86089270210676,0.15457415783171244,-0.09559134545644266,1.785611577134997,0.569672131147541,244,0.4978720558483678,22.544850273705382,0.1323895026805937,-0.050679242382661256,1.9580188218377421,0.38636363636363635,44,0.12176650907973552,1.7529770907747546,22.0,5,True,True,
trend_followthrough,63,3,0.1,1430,8.603546704392222,0.1421031596486153,-0.13979390132165348,1.4608932769336973,0.48872180451127817,532,0.48881566905233065,-2.555218821823729,-0.05949398823141065,-0.10061523027090401,0.8224004134607497,0.3308270676691729,133,-0.04382440975644808,-0.2969959842862545,66.5,3,False,False,
trend_followthrough,64,10,0.1,1430,13.222541253311428,0.16080370659319743,-0.09817691142731132,1.6372360381703874,0.5393258426966292,356,0.5209784521313439,21.321842553633218,0.131238334031661,-0.042388728919986185,1.7041663605057518,0.39436619718309857,71,0.1019587042916259,1.6125374196350808,35.5,5,True,True,
trend_followthrough,65,13,0.1,1460,10.724747500679365,0.147117791281895,-0.1112406420177147,1.6422483084074795,0.5342465753424658,292,0.4855094470402417,13.198096616790481,0.10455504663085716,-0.050679242382661256,1.5926409314632857,0.4107142857142857,56,0.08028882558823924,1.2306207317192728,28.0,5,True,True,
trend_followthrough,66,11,1.0,1500,8.659485726992743,0.14350442577458553,-0.11994249144009551,1.672865940143576,0.5387755102040817,245,0.43185105507215793,3.711443416857306,0.044738352507370745,-0.052660746949958225,1.1972784816557218,0.4,50,0.027285367038470287,0.42859859509765735,25.0,4,True,True,
trend_followthrough,67,9,0.8,1450,16.833753641223307,0.1882221039772268,-0.11432253427866063,2.005787859800023,0.5618374558303887,283,0.7174081953662454,12.80017518340889,0.09724030515627251,-0.0463039288406764,1.4968047612561959,0.3582089552238806,67,0.07270537080861117,0.7603874605877089,33.5,5,True,True,
trend_followthrough,68,18,0.30000000000000004,1500,14.01670171552002,0.1555387755964388,-0.08952466499006974,1.7814886221462918,0.5668016194331984,247,0.5064654267725444,18.576242191998173,0.11730201136894547,-0.050679242382661256,1.7699380297231255,0.3673469387755102,49,0.10521539171009486,1.3252933941962675,24.5,5,True,True,
trend_followthrough,69,16,0.30000000000000004,1440,13.280615353950981,0.17147187383253568,-0.09850001506337024,1.694774855795161,0.5547703180212014,283,0.5243077832477445,16.83346843479701,0.11726278641546246,-0.04381607418894261,1.6265586998916208,0.3333333333333333,54,0.08688106276731711,1.2675217214079657,27.0,4,True,True,
trend_followthrough,70,6,1.0,1490,22.503894358817128,0.1885539756958602,-0.0759523204266361,1.9297105460638833,0.5532646048109966,291,0.6524944687117087,-0.723491614530857,-0.00753057172028437,-0.08504866626879794,0.9516580811844209,0.38095238095238093,63,-0.009530672070519053,-0.032149618328055726,31.5,4,False,False,
trend_followthrough,71,14,0.6000000000000001,1490,7.814952819026198,0.14204853835131465,-0.13139664662806827,1.6451506827816127,0.5491803278688525,244,0.4276747504077092,1.8634557054983956,0.026770944148792875,-0.052965739597853924,1.1123552657117408,0.3333333333333333,48,0.014294968835292687,0.23844746713782417,24.0,3,False,False,
trend_followthrough,72,17,0.0,1440,11.524288710001942,0.14717419886181787,-0.10768940825393541,1.650494022433708,0.5395189003436426,291,0.5018129725263814,21.625791969520357,0.13016575175774836,-0.043415122337539046,1.7793504228708557,0.35714285714285715,56,0.10499692879071465,1.8765402805946114,28.0,5,True,True,
trend_followthrough,73,4,0.6000000000000001,1480,12.509292171605695,0.16189956227555483,-0.10286393963762537,1.605272544703619,0.5094339622641509,371,0.5171736822803199,-0.9563487893611234,-0.012029957852718825,-0.07299238358428776,0.9481048819574511,0.358974358974359,78,-0.010852458438622037,-0.07645107143087587,39.0,4,False,False,
