strategy,trial_id,p_lookback_days,p_buffer_pct,p_entry_hhmm_min,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error,pass_stage1_v1,gates_passed_v2,pass_stage1_v2
breakout_52w,32,90,0.0,1480,8.246751468473953,0.1263516342523615,-0.1200824997933778,1.768182950612695,0.5568181818181818,176,0.4146350522469175,25.76723732521445,0.1296466058883255,-0.0402988013745687,2.154809109869041,0.44,25,0.1133674463976175,3.1245318139777325,12.5,4,True,False,,True,4,False
breakout_52w,33,150,0.4,1440,8.307830049527258,0.1263017480107665,-0.1045221197934342,1.6473571867289143,0.56353591160221,181,0.3702713219804014,39.70023462631249,0.1588345861191052,-0.0337043112337538,2.4577529015460704,0.3846153846153846,26,0.1366358355748951,4.778652715527271,13.0,4,True,False,,True,4,False
breakout_52w,34,90,0.9,1480,14.057229573550472,0.1477333114223544,-0.0863727176177273,2.069351079808196,0.564625850340136,147,0.4927067204948983,4.070502217100326,0.0431568283408564,-0.0402988013745687,1.2627633586406233,0.3809523809523809,21,0.0231689127063874,0.2895664608593447,10.5,3,True,False,,True,3,False
breakout_52w,35,90,1.0,1500,14.273396074266458,0.1493547878715588,-0.0864223186501645,2.082412820061459,0.5694444444444444,144,0.4992765954430485,4.070502217100326,0.0431568283408564,-0.0402988013745687,1.2627633586406233,0.3809523809523809,21,0.0231689127063874,0.2851810596385708,10.5,3,True,False,,True,3,False
breakout_52w,36,150,1.0,1500,13.455805001377469,0.143632743188084,-0.0864223186501645,2.0331770175435637,0.5633802816901409,142,0.4751829870298636,4.070502217100326,0.0431568283408564,-0.0402988013745687,1.2627633586406233,0.3809523809523809,21,0.0231689127063874,0.3025090075758105,10.5,3,True,False,,True,3,False
breakout_52w,37,90,0.4,1450,14.530263628106232,0.1547818346788504,-0.0990633250453378,1.9960243909553488,0.5674157303370787,178,0.5673998584534399,29.088206313707342,0.133271842828517,-0.0357320694540838,2.2450360682245254,0.3333333333333333,24,0.1134492188128675,2.001904924659546,12.0,3,True,False,,True,3,False
breakout_52w,38,90,0.8,1470,15.322698176229736,0.1539685347962147,-0.0850557356850931,2.135549216783811,0.5921052631578947,152,0.5226902678739263,5.413905342224178,0.0540210465886139,-0.0402988013745687,1.3436514453701331,0.4285714285714285,21,0.03020681046325,0.3533258490089445,10.5,3,True,False,,True,3,False
breakout_52w,39,210,0.9,1490,13.651093947814516,0.1448614156071293,-0.0864132283766141,2.041196778673772,0.5555555555555556,144,0.4809305396888605,4.070502217100326,0.0431568283408564,-0.0402988013745687,1.2627633586406233,0.3809523809523809,21,0.0231689127063874,0.2981813935689744,10.5,3,True,False,,True,3,False
breakout_52w,40,180,0.6000000000000001,1480,12.366769092033945,0.1346843104826627,-0.085088058226728,1.8992784410467576,0.5714285714285714,154,0.4366655356596911,4.808330716845767,0.048994919309019,-0.0402988013745687,1.3000066663800884,0.4090909090909091,22,0.0270678747259376,0.3888105843217412,11.0,3,True,False,,True,3,False
breakout_52w,41,90,0.2,1500,10.68572742667291,0.135255744768392,-0.1023762594601702,1.8647601503043771,0.5632183908045977,174,0.4513039483504635,25.76723732521445,0.1296466058883255,-0.0402988013745687,2.154809109869041,0.44,25,0.1133674463976175,2.4113695115314475,12.5,4,True,False,,True,4,False
breakout_52w,42,60,0.0,1440,5.765603517737683,0.1059361106688338,-0.1379795926070304,1.5616658431774142,0.5329949238578681,197,0.3430918678924044,31.6393796904774,0.1607875574502369,-0.0451493371770864,2.3960714002911074,0.4,30,0.1431585259107051,5.487609335803255,15.0,5,True,True,,True,5,True
breakout_52w,43,90,1.0,1450,17.249188069683093,0.1695141327046793,-0.0955018640346142,2.2469717625021266,0.5806451612903226,155,0.6333596341568009,28.370104166162477,0.1334134406297686,-0.0369048447145737,2.2546204485072745,0.3636363636363636,22,0.1140749586875473,1.6447211342095185,11.0,4,True,False,,True,4,False
