strategy,trial_id,p_vwap_deviation_pct,p_rebound_min_bars,p_entry_window_end_bar,p_take_profit_pct,p_stop_loss_pct,train_calmar,train_sharpe,train_mdd,train_profit_factor,train_win_rate,train_total_trades,train_total_return,test_calmar,test_sharpe,test_mdd,test_profit_factor,test_win_rate,test_total_trades,test_total_return,overfit_ratio,monthly_trades,gates_passed,gate_calmar_ok,pass_stage1,error
vwap_bounce,37,-2.1,2,210,1.0,-2.1,-1.2332576421216066,-0.7255865680143588,-0.760944696263016,0.45347240425075147,0.5932932072227,1163,-0.7546184697004834,-1.9959931222674003,-0.9566618650488221,-0.49559516349954635,0.475818562037218,0.5691056910569106,1107,-0.49484428966064054,,553.5,3,False,False,
vwap_bounce,38,-0.30000000000000027,4,60,1.5,-3.0,-1.397949627206426,-0.4706667350957077,-0.5074193297982427,0.7303589947112541,0.65422965583789,3109,-0.4635142464020995,-2.6549747165910675,-0.6174911643042792,-0.35035867929438547,0.5895354596433514,0.5939914163090129,1165,-0.33062899326948925,,582.5,3,False,False,
vwap_bounce,39,-2.1,2,60,3.5,-2.7,-1.0204413736499403,-0.06207546374182744,-0.23206518500333737,0.9119828305916741,0.44396551724137934,464,-0.12732827855370732,-3.893727715309563,-0.21262989407816568,-0.16533980102914353,0.7633417925903333,0.3891625615763547,203,-0.14414446332754804,,101.5,3,False,False,
vwap_bounce,40,-0.6000000000000001,4,180,4.5,-2.1,-1.0457100069209169,-0.15104265394021743,-0.32486507644348994,0.9088096232164721,0.3578984485190409,2836,-0.18875790774765533,-2.4498983045114695,-0.6828847593791543,-0.3837920572451685,0.6405318474937243,0.27448275862068966,1450,-0.346150387578548,,725.0,2,False,False,
vwap_bounce,41,-0.6000000000000001,3,330,4.5,-2.1,-1.067952157706331,-0.16071356210736482,-0.3129743798106158,0.9129618686407888,0.3644654088050314,3180,-0.1853760356786358,-2.3936892719496705,-0.6026856824793745,-0.39511542451050696,0.6680228617434019,0.2927669345579793,1742,-0.3556601371792638,,871.0,2,False,False,
vwap_bounce,42,-0.8999999999999999,7,150,1.5,-2.7,-1.317995068257905,-0.6038771822890656,-0.6137445399670199,0.6715357089191547,0.6167557932263814,2805,-0.5657256869006697,-2.0330455573766946,-1.0747648098589109,-0.4856670764923487,0.4611502729852581,0.5300506879073136,1381,-0.4828283369442541,,690.5,3,False,False,
vwap_bounce,43,-1.2000000000000002,6,240,4.0,-0.8999999999999999,-1.1761368174244478,-0.9512987510372461,-0.815919521710197,0.5916855930195476,0.17292161520190025,4210,-0.8016274148136724,-1.5065900785507755,-1.56557382211989,-0.6632546450383304,0.42461227671539836,0.14729887291099883,2573,-0.6623022318593366,,1286.5,2,False,False,
vwap_bounce,44,-3.0,2,60,4.0,-1.5,-1.4993558530217894,-0.13997509621334014,-0.2537476969327801,0.7275204377514142,0.29207920792079206,202,-0.21438416743588562,-3.237392016116737,-0.2226296657649608,-0.1754700084526314,0.6788845494035732,0.25961538461538464,104,-0.11890369894947084,,52.0,2,False,False,
vwap_bounce,45,-2.7,4,150,2.5,-0.8999999999999999,-1.2631056099671183,-0.6978034789497325,-0.7206734057065282,0.45044890060502024,0.23055555555555557,720,-0.7033302422484358,-2.021369205701341,-0.9808695632367828,-0.48894613777837614,0.40498227402834736,0.1867043847241867,707,-0.48894613777837614,,353.5,2,False,False,
vwap_bounce,46,-2.4,7,120,3.0,-0.8999999999999999,-1.2859617415363946,-0.5618967792966745,-0.6886016440593051,0.517076163391696,0.21248499399759904,833,-0.6645417605878564,-2.1762669541690145,-0.8872101638909635,-0.45020470746350033,0.43006406941827663,0.19418960244648317,654,-0.4446470437903972,,327.0,2,False,False,
vwap_bounce,47,-2.1,2,270,5.0,-2.7,-0.5968165832179487,-0.032209165146579115,-0.22546920444448498,0.9692156985247193,0.3819148936170213,940,-0.0702451095065042,-2.6345081213459935,-0.39329052407014375,-0.3376009848312723,0.6993747095682971,0.3179271708683473,714,-0.2825412755411295,,357.0,2,False,False,
vwap_bounce,48,-3.0,9,60,1.5,-2.1,-1.4573796952935876,-0.14990653017820613,-0.19831438595220677,0.7005719003663619,0.5941176470588235,170,-0.15794390884109188,-4.226202067910457,-0.24964532797549296,-0.11891194885097653,0.6079006321520182,0.4880952380952381,84,-0.09993831017051191,,42.0,4,False,False,
vwap_bounce,49,-2.4,7,270,4.5,-2.1,-1.102302702866572,-0.0975346093511491,-0.34896379818116063,0.8961156181722089,0.343980343980344,814,-0.21707637295183313,-2.344644154454002,-0.4745634576348968,-0.3975851159956874,0.6382171097243832,0.2796271637816245,751,-0.3335599458862566,,375.5,2,False,False,
vwap_bounce,50,-1.2000000000000002,1,120,4.0,-3.0,-0.9673428488254385,-0.12305948812519849,-0.32356889882115136,0.9032879523403343,0.44940079893475365,1502,-0.17238049947803524,-3.0570746695833653,-0.37236436505259735,-0.2628549868997221,0.746716368510033,0.42287917737789205,778,-0.21761391266391905,,389.0,3,False,False,
vwap_bounce,51,-1.2000000000000002,5,270,3.0,-1.2000000000000002,-1.2156783304857655,-0.9083166462869933,-0.7769260093943307,0.6207232689654545,0.26644225789746245,3862,-0.7670865200000023,-1.546953870567302,-1.3964018400710796,-0.6457567598918621,0.4572822406835136,0.23211991434689508,2335,-0.6448236540545308,,1167.5,2,False,False,
vwap_bounce,52,-0.6000000000000001,8,120,2.5,-1.8,-1.33445382892607,-0.6122666736020584,-0.5963949094203476,0.7108224008431152,0.41447937698298243,3467,-0.5510229954083508,-2.2554273985121793,-0.9708218397648755,-0.43309057705204607,0.5439457878452937,0.3537675606641124,1566,-0.433090577052046,,783.0,3,False,False,
vwap_bounce,53,-2.1,1,330,5.0,-3.0,-0.3477858199872418,-0.013764923961885908,-0.19689442060384338,0.987707973355314,0.42176165803108806,965,-0.035117292825055824,-2.6525440603269463,-0.33016778566359284,-0.3266156005078001,0.7345093903658494,0.3542234332425068,734,-0.2617632585719164,,367.0,3,False,False,
vwap_bounce,54,-1.5,1,60,4.5,-2.4,-1.2983218189740457,-0.15999994207307566,-0.35722196329699557,0.8446999893998947,0.36469344608879495,946,-0.2695444946395237,-3.3640531823828055,-0.36492598785878466,-0.24762481738383904,0.6877301748046563,0.3310344827586207,435,-0.23654835116710593,,217.5,2,False,False,
vwap_bounce,55,-3.0,9,90,2.0,-2.7,-1.4539786703334328,-0.14128130560064986,-0.23921253394128358,0.7400459194637508,0.5555555555555556,207,-0.19378572546299588,-3.1192928986548663,-0.5249783815641644,-0.27819099440392375,0.4164709003124543,0.43356643356643354,143,-0.26293210539917156,,71.5,3,False,False,
vwap_bounce,56,-0.30000000000000027,2,360,2.5,-1.2000000000000002,-1.2053114405719123,-1.2704543007949698,-0.7926552104877987,0.6250900026170759,0.3132437619961612,7815,-0.7913946971158816,-1.4346101638981372,-1.453605016348495,-0.696795562423494,0.4800730112511445,0.25850673194614443,4085,-0.6962562747203639,,2042.5,2,False,False,
