======================================================================
일봉 필터 옵션별 시뮬레이션 비교
======================================================================

======================================================================
필터 옵션: none
======================================================================
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [030530] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [030530] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [466100] 일봉 DuckDB에서 로드 (1888개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [199800] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [199430] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [080220] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [090710] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [003160] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [054540] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [001520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [007660] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [107640] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [107600] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [028260] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [054540] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [051780] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [042520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [007660] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [305540] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [462010] 일봉 DuckDB에서 로드 (810개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [247540] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [305720] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [105840] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [086520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [107640] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [086520] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [107640] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [030530] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [237690] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [090360] 일봉 DuckDB에서 로드 (100개)
2026-01-31 13:07:44 | utils.data_cache | DEBUG | [319660] 일봉 DuckDB에서 로드 (100개)
